path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_125400.jpg,20220313_125400.jpg,2024-12-13 02:07:06.796204329+00:00,2022-03-13 16:54:02+00:00,2024-12-14 08:58:46.440336466+00:00,2.602834,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_152111.jpg,20220313_152111.jpg,2024-12-13 02:07:06.828714848+00:00,2022-03-13 19:21:12+00:00,2024-12-14 08:58:42.578899145+00:00,2.861472,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_155415.jpg,20220313_155415.jpg,2024-12-13 02:07:06.844427824+00:00,2022-03-13 19:54:15+00:00,2024-12-14 08:58:41.210349798+00:00,1.118569,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_171446.jpg,20220313_171446.jpg,2024-12-13 02:07:06.856394053+00:00,2022-03-13 21:14:48+00:00,2024-12-14 08:58:35.218308926+00:00,2.045072,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_171456.jpg,20220313_171456.jpg,2024-12-13 02:07:06.863507271+00:00,2022-03-13 21:14:57+00:00,2024-12-14 08:58:35.142998219+00:00,1.350056,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_171458.jpg,20220313_171458.jpg,2024-12-13 02:07:06.880034685+00:00,2022-03-13 21:14:59+00:00,2024-12-14 08:58:35.158700228+00:00,1.361944,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_171507.jpg,20220313_171507.jpg,2024-12-13 02:07:06.952693462+00:00,2022-03-13 21:15:07+00:00,2024-12-14 08:58:36.023956299+00:00,11.15017,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_172719.jpg,20220313_172719.jpg,2024-12-13 02:07:06.967902184+00:00,2022-03-13 21:27:21+00:00,2024-12-14 08:58:35.094027281+00:00,1.292984,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_180740.jpg,20220313_180740.jpg,2024-12-13 02:07:07.090089083+00:00,2022-03-13 22:07:40+00:00,2024-12-14 08:58:32.696510315+00:00,17.203346,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_180747.jpg,20220313_180747.jpg,2024-12-13 02:07:07.099311352+00:00,2022-03-13 22:07:48+00:00,2024-12-14 08:58:32.447880507+00:00,1.724119,jpg,pic
